q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,4,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,4,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,1,7,7,lean_small_lower_bounds,lean_small_explicit_upper
2,5,2,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,5,3,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,5,4,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,5,5,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,6,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,5,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,1,10,12,rule_sphere_covering_bound,lean_small_explicit_upper
2,6,2,4,4,lean_small_lower_bounds,lean_small_explicit_upper
2,6,3,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,6,4,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,6,5,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,6,6,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,6,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,1,16,16,rule_sphere_covering_bound,lean_small_explicit_upper
2,7,2,5,7,rule_sphere_covering_bound,lean_small_explicit_upper
2,7,3,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,7,4,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,7,5,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,7,6,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,7,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,43,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,44,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,45,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,46,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,47,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,7,48,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,1,29,32,rule_sphere_covering_bound,lean_small_explicit_upper;rule_free_lengthening
2,8,2,7,12,rule_sphere_covering_bound,lean_small_explicit_upper
2,8,3,4,4,rule_radius_n_minus_one_exact;rule_lower_block_group_back_propagation,rule_constant_symbol;rule_free_lengthening
2,8,4,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,8,5,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,8,6,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,8,7,2,2,rule_sphere_covering_bound,rule_constant_symbol
2,8,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,36,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,37,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,38,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,39,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,40,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,41,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,8,42,1,1,rule_sphere_covering_bound,rule_large_radius_upper
